"25119"	"ERP007111"	"ERS680370"	"ERX1025968"	"ERR946983"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25120"	"ERP007111"	"ERS680370"	"ERX1025993"	"ERR947008"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25121"	"ERP007111"	"ERS680371"	"ERX1025955"	"ERR946970"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25122"	"ERP007111"	"ERS680371"	"ERX1025980"	"ERR946995"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25123"	"ERP007111"	"ERS680372"	"ERX1025954"	"ERR946969"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25124"	"ERP007111"	"ERS680372"	"ERX1025979"	"ERR946994"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25125"	"ERP007111"	"ERS680373"	"ERX1025967"	"ERR946982"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25126"	"ERP007111"	"ERS680373"	"ERX1025992"	"ERR947007"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"55.0 missing"	NA	NA	NA	"<UBERON:0003100: female organism>"
"25127"	"ERP007111"	"ERS680374"	"ERX1025973"	"ERR946988"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"65.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25128"	"ERP007111"	"ERS680374"	"ERX1025998"	"ERR947013"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"65.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
"25129"	"ERP007111"	"ERS680375"	"ERX1025970"	"ERR946985"	NA	NA	NA	NA	NA	NA	"<EFO:0004905: induced pluripotent stem cell>"	"65.0 missing"	NA	NA	NA	"<UBERON:0003101: male organism>"
